"","SettlementPoint","Year","Month","AveragePrice"
"259","HB_WEST",2016,10,24.113938172043
"260","HB_WEST",2016,11,18.7784166666667
"261","HB_WEST",2016,12,24.8626612903226
"262","HB_WEST",2017,1,21.9017204301075
"263","HB_WEST",2017,2,17.616681547619
"264","HB_WEST",2017,3,19.8135935397039
"265","HB_WEST",2017,4,19.9960972222222
"266","HB_WEST",2017,5,22.1666129032258
"267","HB_WEST",2017,6,25.3316944444444
"268","HB_WEST",2017,7,30.2936424731183
"269","HB_WEST",2017,8,26.8170430107527
"270","HB_WEST",2017,9,22.6788194444444
"271","HB_WEST",2017,10,21.6938306451613
"272","HB_WEST",2017,11,21.0017916666667
"273","HB_WEST",2017,12,20.3380376344086
"274","HB_WEST",2018,1,36.0516397849462
"275","HB_WEST",2018,2,21.0876041666667
"276","HB_WEST",2018,3,20.3336204576043
"277","HB_WEST",2018,4,17.156625
"278","HB_WEST",2018,5,27.6920161290323
"279","HB_WEST",2018,6,28.2770277777778
"280","HB_WEST",2018,7,78.5175537634409
"281","HB_WEST",2018,8,31.5601209677419
"282","HB_WEST",2018,9,26.1395972222222
"283","HB_WEST",2018,10,28.7613306451613
"284","HB_WEST",2018,11,28.71525
"285","HB_WEST",2018,12,29.9440053763441
"286","HB_WEST",2019,1,23.8815456989247
"287","HB_WEST",2019,2,20.4911607142857
"288","HB_WEST",2019,3,25.6696769851952
"289","HB_WEST",2019,4,19.551875
"290","HB_WEST",2019,5,22.7026612903226
"291","HB_WEST",2019,6,24.7085555555556
"292","HB_WEST",2019,7,29.4554704301075
"293","HB_WEST",2019,8,126.315282258065
"294","HB_WEST",2019,9,78.42925
"295","HB_WEST",2019,10,24.6681317204301
"296","HB_WEST",2019,11,21.6602638888889
"297","HB_WEST",2019,12,18.1364247311828
"298","LZ_AEN",2016,1,19.3246639784946
"299","LZ_AEN",2016,2,15.4482902298851
"300","LZ_AEN",2016,3,16.8550740242261
"301","LZ_AEN",2016,4,18.2560694444444
"302","LZ_AEN",2016,5,18.1249059139785
"303","LZ_AEN",2016,6,24.2375138888889
"304","LZ_AEN",2016,7,27.9761021505376
"305","LZ_AEN",2016,8,30.6995161290323
"306","LZ_AEN",2016,9,26.7108611111111
"307","LZ_AEN",2016,10,25.6229032258064
"308","LZ_AEN",2016,11,19.6400416666667
"309","LZ_AEN",2016,12,25.8701747311828
"310","LZ_AEN",2017,1,23.4044758064516
"311","LZ_AEN",2017,2,20.6053273809524
"312","LZ_AEN",2017,3,22.9970121130552
"313","LZ_AEN",2017,4,24.1180833333333
"314","LZ_AEN",2017,5,25.2938440860215
"315","LZ_AEN",2017,6,27.9166388888889
"316","LZ_AEN",2017,7,31.401438172043
"317","LZ_AEN",2017,8,27.4656182795699
"318","LZ_AEN",2017,9,24.6288055555556
"319","LZ_AEN",2017,10,24.0199059139785
"320","LZ_AEN",2017,11,23.0194444444444
"321","LZ_AEN",2017,12,21.0629301075269
"322","LZ_AEN",2018,1,38.8379838709677
"323","LZ_AEN",2018,2,21.9138839285714
"324","LZ_AEN",2018,3,22.2028263795424
"325","LZ_AEN",2018,4,22.1884861111111
"326","LZ_AEN",2018,5,33.1661693548387
"327","LZ_AEN",2018,6,30.286125
"328","LZ_AEN",2018,7,78.9513709677419
"329","LZ_AEN",2018,8,31.7321370967742
"330","LZ_AEN",2018,9,27.1673055555556
"331","LZ_AEN",2018,10,30.31
"332","LZ_AEN",2018,11,30.4680833333333
"333","LZ_AEN",2018,12,30.0947580645161
"334","LZ_AEN",2019,1,25.1079569892473
"335","LZ_AEN",2019,2,21.5138095238095
"336","LZ_AEN",2019,3,27.7421803499327
"337","LZ_AEN",2019,4,23.2703472222222
"338","LZ_AEN",2019,5,24.6762365591398
"339","LZ_AEN",2019,6,24.4167916666667
"340","LZ_AEN",2019,7,29.7090860215054
"341","LZ_AEN",2019,8,126.526922043011
"342","LZ_AEN",2019,9,80.1695972222222
"343","LZ_AEN",2019,10,29.2804435483871
"344","LZ_AEN",2019,11,24.4080138888889
"345","LZ_AEN",2019,12,19.0517069892473
"346","LZ_CPS",2016,1,19.3538440860215
"347","LZ_CPS",2016,2,15.5200143678161
"348","LZ_CPS",2016,3,16.8981830417227
"349","LZ_CPS",2016,4,19.0693611111111
"350","LZ_CPS",2016,5,18.4798655913979
"351","LZ_CPS",2016,6,24.9580694444444
"352","LZ_CPS",2016,7,27.9679569892473
"353","LZ_CPS",2016,8,31.3065725806452
"354","LZ_CPS",2016,9,28.13025
"355","LZ_CPS",2016,10,26.2502956989247
"356","LZ_CPS",2016,11,21.7146666666667
"357","LZ_CPS",2016,12,26.5964247311828
"358","LZ_CPS",2017,1,23.7725672043011
"359","LZ_CPS",2017,2,20.9194791666667
"360","LZ_CPS",2017,3,23.8615477792732
"361","LZ_CPS",2017,4,25.3379027777778
"362","LZ_CPS",2017,5,26.5370295698925
"363","LZ_CPS",2017,6,30.416
"364","LZ_CPS",2017,7,32.1152956989247
"365","LZ_CPS",2017,8,28.1375672043011
"366","LZ_CPS",2017,9,25.1366527777778
"367","LZ_CPS",2017,10,25.2759543010753
"368","LZ_CPS",2017,11,23.5725694444444
"369","LZ_CPS",2017,12,22.048373655914
"370","LZ_CPS",2018,1,41.312876344086
"371","LZ_CPS",2018,2,22.5173958333333
"372","LZ_CPS",2018,3,25.2892732166891
"373","LZ_CPS",2018,4,26.535375
"374","LZ_CPS",2018,5,36.0555913978495
"375","LZ_CPS",2018,6,30.7272777777778
"376","LZ_CPS",2018,7,79.124435483871
"377","LZ_CPS",2018,8,31.865685483871
"378","LZ_CPS",2018,9,27.5129861111111
"379","LZ_CPS",2018,10,31.6359677419355
"380","LZ_CPS",2018,11,32.0412083333333
"381","LZ_CPS",2018,12,30.3092204301075
"382","LZ_CPS",2019,1,26.7983333333333
"383","LZ_CPS",2019,2,24.110119047619
"384","LZ_CPS",2019,3,29.3516958277254
"385","LZ_CPS",2019,4,25.3635972222222
"386","LZ_CPS",2019,5,26.2460752688172
"387","LZ_CPS",2019,6,26.3912916666667
"388","LZ_CPS",2019,7,30.6671774193548
"389","LZ_CPS",2019,8,127.696209677419
"390","LZ_CPS",2019,9,82.4363472222222
"391","LZ_CPS",2019,10,33.5536021505376
"392","LZ_CPS",2019,11,25.5751388888889
"393","LZ_CPS",2019,12,19.9978629032258
"394","LZ_HOUSTON",2016,1,19.563938172043
"395","LZ_HOUSTON",2016,2,15.4879885057471
"396","LZ_HOUSTON",2016,3,17.2067294751009
"397","LZ_HOUSTON",2016,4,19.1289305555556
"398","LZ_HOUSTON",2016,5,19.9039919354839
"399","LZ_HOUSTON",2016,6,29.9150833333333
"400","LZ_HOUSTON",2016,7,29.9118682795699
"401","LZ_HOUSTON",2016,8,33.5635483870968
"402","LZ_HOUSTON",2016,9,29.0326805555556
"403","LZ_HOUSTON",2016,10,28.5458198924731
"404","LZ_HOUSTON",2016,11,20.4376805555556
"405","LZ_HOUSTON",2016,12,25.7368413978495
"406","LZ_HOUSTON",2017,1,24.8273655913979
"407","LZ_HOUSTON",2017,2,23.5172172619048
"408","LZ_HOUSTON",2017,3,28.7420053835801
"409","LZ_HOUSTON",2017,4,32.9670694444444
"410","LZ_HOUSTON",2017,5,32.3626478494624
"411","LZ_HOUSTON",2017,6,33.6689166666667
"412","LZ_HOUSTON",2017,7,34.7258333333333
"413","LZ_HOUSTON",2017,8,30.0314784946237
"414","LZ_HOUSTON",2017,9,27.4100277777778
"415","LZ_HOUSTON",2017,10,31.3393817204301
"416","LZ_HOUSTON",2017,11,26.339625
"417","LZ_HOUSTON",2017,12,21.9797849462366
"418","LZ_HOUSTON",2018,1,38.0449865591398
"419","LZ_HOUSTON",2018,2,22.3758482142857
"420","LZ_HOUSTON",2018,3,23.9334589502019
"421","LZ_HOUSTON",2018,4,24.7283472222222
"422","LZ_HOUSTON",2018,5,35.5330376344086
"423","LZ_HOUSTON",2018,6,31.8023472222222
"424","LZ_HOUSTON",2018,7,79.5665322580645
"425","LZ_HOUSTON",2018,8,32.159623655914
"426","LZ_HOUSTON",2018,9,27.7224166666667
"427","LZ_HOUSTON",2018,10,31.7811155913978
"428","LZ_HOUSTON",2018,11,31.7303333333333
"429","LZ_HOUSTON",2018,12,30.4620698924731
"430","LZ_HOUSTON",2019,1,25.5500806451613
"431","LZ_HOUSTON",2019,2,21.644255952381
"432","LZ_HOUSTON",2019,3,28.0803230148048
"433","LZ_HOUSTON",2019,4,24.2645833333333
"434","LZ_HOUSTON",2019,5,25.1536155913978
"435","LZ_HOUSTON",2019,6,27.2267361111111
"436","LZ_HOUSTON",2019,7,30.013064516129
"437","LZ_HOUSTON",2019,8,126.693387096774
"438","LZ_HOUSTON",2019,9,80.7792916666667
"439","LZ_HOUSTON",2019,10,30.6423790322581
"440","LZ_HOUSTON",2019,11,24.1816111111111
"441","LZ_HOUSTON",2019,12,18.9198521505376
"442","LZ_LCRA",2016,1,19.3174596774194
"443","LZ_LCRA",2016,2,15.4885488505747
"444","LZ_LCRA",2016,3,16.7962987886945
"445","LZ_LCRA",2016,4,18.3927083333333
"446","LZ_LCRA",2016,5,18.1827822580645
"447","LZ_LCRA",2016,6,24.1644166666667
"448","LZ_LCRA",2016,7,27.5922177419355
"449","LZ_LCRA",2016,8,31.1755779569892
"450","LZ_LCRA",2016,9,27.0399444444444
"451","LZ_LCRA",2016,10,26.0684408602151
"452","LZ_LCRA",2016,11,19.5416805555556
"453","LZ_LCRA",2016,12,25.487876344086
"454","LZ_LCRA",2017,1,23.4362768817204
"455","LZ_LCRA",2017,2,20.660818452381
"456","LZ_LCRA",2017,3,23.437133243607
"457","LZ_LCRA",2017,4,24.4774166666667
"458","LZ_LCRA",2017,5,25.6379569892473
"459","LZ_LCRA",2017,6,28.6390833333333
"460","LZ_LCRA",2017,7,31.9057123655914
"461","LZ_LCRA",2017,8,27.6780107526882
"462","LZ_LCRA",2017,9,24.8134305555556
"463","LZ_LCRA",2017,10,24.4842607526882
"464","LZ_LCRA",2017,11,23.047125
"465","LZ_LCRA",2017,12,21.1176612903226
"466","LZ_LCRA",2018,1,38.9925672043011
"467","LZ_LCRA",2018,2,21.7622470238095
"468","LZ_LCRA",2018,3,22.0513055181696
"469","LZ_LCRA",2018,4,22.6440277777778
"470","LZ_LCRA",2018,5,34.7354032258065
"471","LZ_LCRA",2018,6,30.3655555555556
"472","LZ_LCRA",2018,7,79.0699462365591
"473","LZ_LCRA",2018,8,31.8079704301075
"474","LZ_LCRA",2018,9,27.1872638888889
"475","LZ_LCRA",2018,10,30.0698790322581
"476","LZ_LCRA",2018,11,30.5158055555556
"477","LZ_LCRA",2018,12,30.5826612903226
"478","LZ_LCRA",2019,1,24.9363037634409
"479","LZ_LCRA",2019,2,21.6669791666667
"480","LZ_LCRA",2019,3,27.6493135935397
"481","LZ_LCRA",2019,4,23.3147638888889
"482","LZ_LCRA",2019,5,24.5086827956989
"483","LZ_LCRA",2019,6,24.5195416666667
"484","LZ_LCRA",2019,7,29.7479166666667
"485","LZ_LCRA",2019,8,126.670766129032
"486","LZ_LCRA",2019,9,82.4672361111111
"487","LZ_LCRA",2019,10,29.0158064516129
"488","LZ_LCRA",2019,11,24.4852222222222
"489","LZ_LCRA",2019,12,19.4568817204301
"490","LZ_NORTH",2016,1,19.187997311828
"491","LZ_NORTH",2016,2,15.4622126436782
"492","LZ_NORTH",2016,3,17.4615074024226
"493","LZ_NORTH",2016,4,19.0876388888889
"494","LZ_NORTH",2016,5,18.1828897849462
"495","LZ_NORTH",2016,6,23.5626805555556
"496","LZ_NORTH",2016,7,27.4157795698925
"497","LZ_NORTH",2016,8,30.1485752688172
"498","LZ_NORTH",2016,9,26.6058611111111
"499","LZ_NORTH",2016,10,24.5326612903226
"500","LZ_NORTH",2016,11,18.8305138888889
"501","LZ_NORTH",2016,12,25.28625
"502","LZ_NORTH",2017,1,23.6030241935484
"503","LZ_NORTH",2017,2,19.5500148809524
"504","LZ_NORTH",2017,3,21.8394078061911
"505","LZ_NORTH",2017,4,21.9758055555556
"506","LZ_NORTH",2017,5,24.5575134408602
"507","LZ_NORTH",2017,6,26.8937361111111
"508","LZ_NORTH",2017,7,31.1868413978495
"509","LZ_NORTH",2017,8,27.0603629032258
"510","LZ_NORTH",2017,9,23.9684027777778
"511","LZ_NORTH",2017,10,21.9384274193548
"512","LZ_NORTH",2017,11,22.2631666666667
"513","LZ_NORTH",2017,12,21.4081317204301
"514","LZ_NORTH",2018,1,37.7285215053763
"515","LZ_NORTH",2018,2,21.8404613095238
"516","LZ_NORTH",2018,3,22.6405518169583
"517","LZ_NORTH",2018,4,24.3668888888889
"518","LZ_NORTH",2018,5,37.4518817204301
"519","LZ_NORTH",2018,6,31.3016111111111
"520","LZ_NORTH",2018,7,79.8461827956989
"521","LZ_NORTH",2018,8,31.9715860215054
"522","LZ_NORTH",2018,9,27.8858472222222
"523","LZ_NORTH",2018,10,31.6454166666667
"524","LZ_NORTH",2018,11,31.974125
"525","LZ_NORTH",2018,12,31.1319489247312
